word,colour,stim_condition,correct_res,key_resp.corr,key_resp.rt,,,
RED,red,c,r,1,2.0299372,,,
YELLOW,yellow,c,y,1,0.8961531,,,
BLUE,blue,c,b,1,1.1073102,,,
GREEN,green,c,g,1,1.01369,,,
GREEN,green,c,g,1,1.1355086,,,
RED,red,c,r,1,0.9246103,,,
YELLOW,yellow,c,y,1,2.6442481,,,
BLUE,blue,c,b,1,1.2610469,,,
BLUE,blue,c,b,1,1.0470728,,,
RED,red,c,r,1,1.0343529,,mean ,
YELLOW,yellow,c,y,1,0.677147,,congruent,0.976063197
GREEN,green,c,g,1,0.6488002,,incongruent,1.095685195
BLUE,blue,c,b,1,1.2611511,,,
GREEN,green,c,g,1,1.4560374,,,
YELLOW,yellow,c,y,1,1.6085465,,,
RED,red,c,r,1,1.3195644,,,
YELLOW,yellow,c,y,1,0.6459026,,,
BLUE,blue,c,b,1,0.66338,,,
GREEN,green,c,g,1,0.7146364,,,
RED,red,c,r,1,0.7103544,,,
YELLOW,yellow,c,y,1,0.8104293,,,
RED,red,c,r,1,0.4348609,,,
GREEN,green,c,g,1,0.5480848,,,
BLUE,blue,c,b,1,0.5912423,,,
RED,red,c,r,1,0.6955548,,,
BLUE,blue,c,b,1,0.4445412,,,
GREEN,green,c,g,1,0.5289171,,,
YELLOW,yellow,c,y,1,0.5830061,,,
YELLOW,yellow,c,y,1,0.6582167,,,
GREEN,green,c,g,1,0.6193878,,,
BLUE,blue,c,b,1,0.4652779,,,
RED,red,c,r,1,0.5301229,,,
YELLOW,yellow,c,y,1,0.581429,,,
RED,red,c,r,1,0.6695606,,,
GREEN,green,c,g,1,0.5554757,,,
BLUE,blue,c,b,1,0.9564847,,,
BLUE,blue,c,b,1,0.8278435,,,
YELLOW,yellow,c,y,1,0.6037219,,,
GREEN,green,c,g,1,0.625606,,,
RED,red,c,r,1,1.0025761,,,
GREEN,green,c,g,1,0.690062,,,
YELLOW,yellow,c,y,1,1.4330425,,,
BLUE,blue,c,b,1,0.6477808,,,
RED,red,c,r,1,0.7925153,,,
YELLOW,yellow,c,y,1,0.6888286,,,
BLUE,blue,c,b,1,5.0495496,,,
GREEN,green,c,g,1,4.7545636,,,
RED,red,c,r,1,1.4242737,,,
BLUE,blue,c,b,1,0.6466532,,,
GREEN,green,c,g,1,0.6852938,,,
RED,red,c,r,1,1.0995155,,,
YELLOW,yellow,c,y,1,0.9302393,,,
YELLOW,yellow,c,y,1,0.8241475,,,
GREEN,green,c,g,1,0.6315142,,,
RED,red,c,r,1,0.914409,,,
BLUE,blue,c,b,1,1.4253203,,,
YELLOW,yellow,c,y,1,0.6676682,,,
GREEN,green,c,g,1,3.7067563,,,
RED,red,c,r,1,3.13047,,,
BLUE,blue,c,b,1,0.7692295,,,
GREEN,green,c,g,1,1.0208286,,,
YELLOW,yellow,c,y,1,0.8733127,,,
RED,red,c,r,1,0.6637418,,,
BLUE,blue,c,b,1,0.6348677,,,
BLUE,blue,c,b,1,0.7204561,,,
RED,red,c,r,1,0.8251529,,,
YELLOW,yellow,c,y,1,0.723261,,,
GREEN,green,c,g,1,0.7812296,,,
YELLOW,yellow,c,y,1,0.6781373,,,
GREEN,green,c,g,1,0.658007,,,
BLUE,blue,c,b,1,0.5980839,,,
RED,red,c,r,1,0.6222673,,,
YELLOW,yellow,c,y,1,0.698268,,,
BLUE,blue,c,b,1,0.8615367,,,
GREEN,green,c,g,1,0.6738112,,,
